Date,Open,High,Low,Close,Adj Close,Volume
2021-04-19,43.610001,44.400002,43.380001,43.880001,42.43071,39124200
2021-04-20,43.400002,43.400002,42.349998,42.540001,41.134968,29734000
2021-04-21,42.240002,43.360001,41.77,43.240002,41.811848,27258000
2021-04-22,43.259998,43.52,42.68,42.700001,41.28968,24638300
2021-04-23,42.709999,44.18,42.630001,43.860001,42.411366,28024200
2021-04-26,44.130001,44.68,43.990002,44.139999,42.682121,24606600
2021-04-27,44.389999,45.220001,44.200001,45.09,43.600746,29130200
2021-04-28,45.150002,45.669998,44.93,45.080002,43.591072,20795100
2021-04-29,45.619999,46.389999,45.52,46.240002,44.712753,26880700
2021-04-30,45.799999,46.02,44.860001,45.049999,43.562065,34176500
2021-05-03,45.450001,45.650002,45.07,45.48,43.977863,16522700
2021-05-04,45.259998,45.84,44.669998,45.740002,44.229275,26137600
2021-05-05,45.93,46.200001,45.470001,45.939999,44.422665,19620200
2021-05-06,46.110001,46.689999,45.700001,46.630001,45.188244,34271500
2021-05-07,45.93,46.619999,45.549999,46.540001,45.101025,25140400
2021-05-10,46.84,47.349998,46.59,46.599998,45.159161,28193100
2021-05-11,46.02,46.880001,45.509998,45.720001,44.306377,31478500
2021-05-12,46.830002,47.16,45.48,45.639999,44.228851,33392900
2021-05-13,45.490002,46.790001,45.310001,46.400002,44.965355,23553400
2021-05-14,46.599998,47.110001,46.470001,46.959999,45.508038,17078500
2021-05-17,46.919998,47.98,46.799999,47.900002,46.418972,25212800
2021-05-18,47.900002,48.130001,46.830002,46.860001,45.411129,24126000
2021-05-19,45.939999,46.32,45.369999,46.169998,44.742462,28911100
2021-05-20,46.07,46.18,45.27,45.73,44.316071,26107000
2021-05-21,45.970001,46.299999,45.779999,45.880001,44.46143,27312700
2021-05-24,46.0,46.509998,45.759998,46.240002,44.810295,25707400
2021-05-25,46.389999,47.02,46.040001,46.09,44.664936,29415300
2021-05-26,46.110001,46.599998,45.599998,46.400002,44.965355,26170600
2021-05-27,46.990002,47.380001,46.310001,46.759998,45.314217,42572900
2021-05-28,46.849998,46.880001,46.279999,46.720001,45.275459,15760100
2021-06-01,47.16,47.41,46.790001,47.259998,45.798763,17878600
2021-06-02,47.380001,47.459999,46.580002,46.810001,45.362675,18492600
2021-06-03,46.689999,47.0,46.349998,46.459999,45.023499,20206400
2021-06-04,47.060001,47.099998,46.509998,46.959999,45.508038,18190300
2021-06-07,47.099998,47.18,46.779999,47.110001,45.653404,16644300
2021-06-08,46.740002,47.009998,46.299999,46.610001,45.168861,21271700
2021-06-09,46.240002,46.34,45.630001,45.919998,44.500187,22617500
2021-06-10,46.470001,46.650002,45.009998,45.09,43.695858,21640000
2021-06-11,45.18,45.689999,45.18,45.68,44.267616,19389300
2021-06-14,45.610001,45.880001,44.84,45.150002,43.754002,25452300
2021-06-15,45.200001,45.720001,45.0,45.459999,44.05442,23865400
2021-06-16,44.950001,45.959999,44.32,45.57,44.161015,38287700
2021-06-17,45.790001,45.959999,42.66,42.790001,41.466969,48910400
2021-06-18,41.68,42.310001,41.470001,41.75,40.459126,61292200
2021-06-21,42.299999,43.310001,42.23,43.279999,41.941818,26444700
2021-06-22,43.41,43.869999,42.860001,43.540001,42.193779,26455200
2021-06-23,43.5,44.310001,43.5,43.959999,42.600796,18778500
2021-06-24,44.259998,45.419998,44.209999,45.18,43.783077,27951000
2021-06-25,45.57,46.650002,45.220001,46.380001,44.945969,49074700
2021-06-28,46.0,46.07,45.09,45.790001,44.374222,27127500
2021-06-29,46.040001,46.380001,44.599998,44.790001,43.405136,39534000
2021-06-30,44.619999,45.389999,44.450001,45.290001,43.889675,18168100
2021-07-01,45.48,45.639999,44.970001,45.41,44.005962,18658000
2021-07-02,45.299999,45.41,44.84,45.07,43.676472,13218500
2021-07-06,44.73,44.82,43.299999,43.490002,42.145332,25486900
2021-07-07,43.279999,43.970001,43.119999,43.400002,42.058113,21884000
2021-07-08,42.580002,42.950001,41.970001,42.32,41.011505,29148700
2021-07-09,43.18,44.110001,42.849998,43.91,42.552338,25055900
2021-07-12,43.279999,44.25,42.959999,44.16,42.794617,17618900
2021-07-13,43.790001,44.130001,43.009998,43.23,41.893364,25387800
2021-07-14,43.599998,45.130001,42.509998,44.950001,43.560188,49618000
2021-07-15,44.59,45.389999,44.369999,45.0,43.608639,33388100
2021-07-16,45.41,45.529999,44.110001,44.279999,42.910896,27838200
2021-07-19,42.709999,43.299999,42.290001,43.049999,41.718937,43362200
2021-07-20,43.0,45.150002,42.869999,44.84,43.45359,34556200
2021-07-21,45.290001,46.150002,45.209999,45.799999,44.383904,29654600
2021-07-22,45.84,45.950001,44.799999,45.029999,43.637711,23309500
2021-07-23,45.099998,45.509998,44.419998,44.59,43.211315,23946500
2021-07-26,44.470001,45.240002,44.470001,45.009998,43.618332,22976700
2021-07-27,44.59,45.380001,44.27,45.139999,43.744312,22124500
2021-07-28,45.380001,46.040001,44.98,45.509998,44.102871,23252800
2021-07-29,45.889999,46.709999,45.68,46.5,45.062263,24487400
2021-07-30,46.259998,46.849998,45.73,45.939999,44.519573,25794000
2021-08-02,46.040001,46.810001,45.57,45.790001,44.374222,23960700
2021-08-03,45.98,46.939999,45.110001,46.830002,45.382061,24050300
2021-08-04,46.27,46.970001,46.040001,46.150002,44.723091,22178000
2021-08-05,46.049999,47.0,46.009998,46.990002,45.735317,28092600
2021-08-06,47.5,48.990002,47.450001,48.77,47.467789,33583900
2021-08-09,48.66,49.34,48.290001,48.650002,47.350986,29795200
2021-08-10,48.73,49.689999,48.689999,49.630001,48.304821,28708100
2021-08-11,49.630001,50.73,49.169998,50.66,49.30732,29203900
2021-08-12,50.759998,51.25,50.560001,51.150002,49.784241,21729900
2021-08-13,51.209999,51.41,50.18,50.369999,49.025059,15843300
2021-08-16,49.93,49.98,48.939999,49.41,48.090698,22615500
2021-08-17,48.880001,49.369999,48.029999,48.709999,47.409386,16887000
2021-08-18,48.360001,48.98,47.900002,47.970001,46.689144,16319300
2021-08-19,47.349998,47.950001,46.830002,47.25,45.988369,20259400
2021-08-20,47.130001,47.450001,46.84,47.419998,46.153831,15357400
2021-08-23,47.75,47.990002,47.450001,47.610001,46.33876,15551900
2021-08-24,47.75,48.369999,47.709999,48.360001,47.068733,15109100
2021-08-25,48.619999,49.619999,48.470001,49.290001,47.973896,21357400
2021-08-26,49.529999,49.869999,48.889999,49.049999,47.740311,21627600
2021-08-27,49.220001,49.849998,49.119999,49.810001,48.480019,16873300
2021-08-30,49.759998,49.810001,48.349998,48.41,47.117397,16054100
2021-08-31,48.41,48.990002,45.209999,45.700001,44.479759,73514300
2021-09-01,45.700001,45.970001,43.27,43.450001,42.289833,84960500
2021-09-02,43.68,44.880001,43.540001,44.57,43.379929,37629000
2021-09-03,44.490002,44.5,43.82,44.169998,42.990612,21687500
2021-09-07,44.32,44.959999,44.25,44.310001,43.126877,19733500
2021-09-08,44.119999,44.540001,43.630001,43.82,42.649956,21252400
2021-09-09,43.849998,44.720001,43.759998,44.360001,43.175541,19776900
2021-09-10,45.0,45.25,44.189999,44.330002,43.146339,23367400
2021-09-13,44.560001,45.810001,44.560001,45.759998,44.538155,28027200
2021-09-14,46.02,46.939999,45.759998,46.049999,44.820412,36053200
2021-09-15,45.869999,46.889999,45.849998,46.639999,45.394661,31535600
2021-09-16,46.900002,47.27,46.009998,46.279999,45.044266,24102400
